Anio,temp_promedio,temp_maxima,temp_minima
1946,-0.12274166666666668,0.0406,-0.3468
1947,-0.09599166666666666,0.0318,-0.2362
1948,-0.12918333333333334,0.0516,-0.3503
1949,-0.15386666666666668,-0.0285,-0.2479
1950,-0.2396583333333333,-0.1163,-0.3954
1951,-0.07186666666666666,0.1212,-0.5211
1952,0.010808333333333335,0.0941,-0.1676
1953,0.07698333333333333,0.2246,-0.0095
1954,-0.11753333333333334,0.117,-0.2438
1955,-0.19868333333333332,0.1074,-0.3986
1956,-0.2649666666666667,-0.158,-0.3621
1957,-0.034916666666666665,0.0724,-0.2187
1958,-0.01646666666666666,0.2579,-0.1536
1959,-0.046533333333333336,0.0286,-0.183
1960,-0.113375,0.0836,-0.444
1961,-0.014399999999999998,0.0967,-0.2476
1962,-0.05884166666666666,0.0244,-0.1746
1963,-0.031400000000000004,0.1517,-0.3368
1964,-0.30212500000000003,-0.1658,-0.4378
1965,-0.20229166666666668,-0.1037,-0.2979
1966,-0.14535833333333334,0.0055,-0.2809
1967,-0.11570833333333334,0.0614,-0.3252
1968,-0.16395833333333334,0.0124,-0.3182
1969,-0.027800000000000002,0.1709,-0.1929
1970,-0.08401666666666667,0.0642,-0.1971
1971,-0.204075,-0.1223,-0.3368
1972,-0.09016666666666667,0.1138,-0.3753
1973,0.05246666666666666,0.1958,-0.1269
1974,-0.16868333333333332,0.0274,-0.4434
1975,-0.10598333333333333,0.0571,-0.2572
1976,-0.21079166666666668,-0.0253,-0.3549
1977,0.10510000000000001,0.2281,-0.039
1978,0.0055000000000000005,0.0937,-0.217
1979,0.0881,0.3844,-0.1812
1980,0.19151666666666667,0.3547,0.0906
1981,0.24697500000000003,0.442,0.0515
1982,0.030958333333333338,0.2765,-0.1403
1983,0.22084166666666669,0.3576,0.092
1984,0.046033333333333336,0.2124,-0.162
1985,0.04598333333333333,0.1386,-0.1042
1986,0.09231666666666666,0.303,0.0207
1987,0.2382,0.3664,0.0985
1988,0.277625,0.453,0.0239
1989,0.17490000000000003,0.2928,-0.031
1990,0.35504166666666664,0.6284,0.2134
1991,0.33380000000000004,0.4633,0.2333
1992,0.12001666666666667,0.3567,-0.0957
1993,0.16109166666666666,0.2742,0.0408
1994,0.22745,0.3497,0.0024
1995,0.3711333333333333,0.6332,0.167
1996,0.2708333333333333,0.4539,0.1221
1997,0.415075,0.6075,0.242
1998,0.5719583333333333,0.791,0.3753
1999,0.31803333333333333,0.5945,0.241
2000,0.3255,0.5274,0.173
2001,0.4834416666666667,0.6861,0.3569
2002,0.5371666666666667,0.7866,0.3414
2003,0.538275,0.6529,0.4196
2004,0.4624083333333333,0.6462,0.2363
2005,0.6023083333333333,0.68,0.5272
2006,0.5663416666666666,0.7095,0.4638
2007,0.5855083333333333,0.8886,0.4117
2008,0.45919166666666666,0.6175,0.2036
2009,0.5900083333333334,0.6935,0.4392
2010,0.6736416666666667,0.8514,0.4299
2011,0.5326083333333334,0.6508,0.4231
2012,0.5715166666666667,0.7239,0.3647
2013,0.6186416666666666,0.7649,0.5189
2014,0.66785,0.7607,0.4831
2015,0.8179666666666666,1.0351,0.6843
2016,0.9248249999999999,1.2161,0.7612
2017,0.8364583333333333,1.0622,0.6497
2018,0.7531916666666666,0.8582,0.6766
2019,0.8873416666666666,1.0769,0.7766
2020,0.9162333333333333,1.1097,0.6923
2021,0.7673166666666668,0.9278,0.5647
2022,0.801825,0.9506,0.6687
2023,1.1097916666666665,1.3481,0.7827
2024,1.1694916666666666,1.2757,1.0613
2025,1.0498083333333332,1.2564,0.8823
2026,1.0323,1.0496,0.9978
